year,make,model,series,pass
2001,Acura,Integra Type R
2002,Acura,RSX Type S
2017,Acura,NSX
1973,Alpine,A110 1600s
2017,Alpine,A110
2015,Alumi Craft,Class 10 Race Car
1973,AMC,Gremlin X
2554,AMG Transport Dynamics,M12S Warthog CST
2018,Apollo,Intensa Emozione
2018,Apollo,Intensa Emozione,Welcome Pack
2013,Ariel,Atom 500 V8
2016,Ariel,Nomad
1964,Aston Martin,DB5
2013,Aston Martin,V12 Vantage S
2016,Aston Martin,Vantage GT12
2017,Aston Martin,DB11
2017,Aston Martin,Vulcan AMR Pro
2019,Aston Martin,Vantage
2019,Aston Martin,DBS Superleggera
2019,Aston Martin,Valhalla Concept Car
1984,Audi,Sport quattro
1995,Audi,Avant RS2
2001,Audi,RS 4 Avant
2003,Audi,RS 6
2006,Audi,RS 4
2009,Audi,RS 6
2010,Audi,TT RS Coupé
2011,Audi,RS 3 Sportback
2011,Audi,RS 5 Coupé
2013,Audi,RS 4 Avant
2013,Audi,RS 7 Sportback
2013,Audi,R8 Coupé V10 plus 5.2 FSI quattro
2015,Audi,RS 6 Avant
2015,Audi,TTS Coupé
2015,Audi,S1
2016,Audi,R8 V10 plus
1958,Austin-Healey,Sprite MkI
1939,Auto Union,Type D
2014,BAC,Mono
1930,Bentley,4-1/2 Litre Supercharged
1930,Bentley,8 Litre
2016,Bentley,Bentayga
2017,Bentley,Continental Supersports
1957,BMW,Isetta 300 Export
1981,BMW,M1
1988,BMW,M5
1991,BMW,M3
1995,BMW,M5
1997,BMW,M3
2002,BMW,M3-GTR
2002,BMW,Z3 M Coupe
2003,BMW,M5
2005,BMW,M3
2008,BMW,M3
2008,BMW,Z4 M Coupe
2009,BMW,M5
2011,BMW,1 Series M Coupe
2011,BMW,X5 M
2012,BMW,M5
2013,BMW,M6 Coupe
2014,BMW,M4 Coupe
2015,BMW,i8
2015,BMW,X6 M
2016,BMW,M2 Coupé
2016,BMW,M4 GTS
2018,BMW,M5
2019,BMW,Z4 Roadster
1926,Bugatti,Type 35 C
1992,Bugatti,EB110 Super Sport
2011,Bugatti,Veyron Super Sport
2018,Bugatti,Chiron
2019,Bugatti,Divo
1970,Buick,GSX
1987,Buick,Regal GNX
2016,Cadillac,ATS-V
2016,Cadillac,CTS-V Sedan
2018,Can-Am,Maverick X RS Turbo R
2013,Caterham,Superlight R500
1953,Chevrolet,Corvette Forza Edition
1955,Chevrolet,150 Utility Sedan
1957,Chevrolet,Bel Air
1960,Chevrolet,Corvette
1964,Chevrolet,Impala Super Sport 409
1967,Chevrolet,Corvette Stingray 427
1969,Chevrolet,Camaro Super Sport Coupe
1969,Chevrolet,Nova Super Sport 396
1970,Chevrolet,Chevelle Super Sport 454
1970,Chevrolet,Corvette ZR-1
1970,Chevrolet,El Camino Super Sport 454
1970,Chevrolet,Camaro Z28
1979,Chevrolet,Camaro Z28
1988,Chevrolet,Monte Carlo Super Sport
1995,Chevrolet,Corvette ZR-1
1996,Chevrolet,Impala Super Sport
2002,Chevrolet,Corvette Z06
2009,Chevrolet,Corvette ZR1
2015,Chevrolet,Corvette Z06
2015,Chevrolet,Camaro Z/28
2017,Chevrolet,Camaro ZL1
2017,Chevrolet,Colorado ZR2
2018,Chevrolet,Camaro ZL1 1LE
2019,Chevrolet,Corvette ZR1
2020,Chevrolet,Corvette Stingray Coupé
1970,Datsun,510
2013,DeBerti,Jeep Wrangler Unlimited
2018,DeBerti,Chevrolet Silverado 1500 Drift Truck
2018,DeBerti,Ford F-150 Prerunner
2019,DeBerti,Toyota Tacoma TRD 'The Performance Truck'
1969,Dodge,Charger R/T
1969,Dodge,Charger Daytona HEMI
1970,Dodge,Challenger R/T
2008,Dodge,Viper SRT10 ACR
2013,Dodge,SRT Viper GTS
2015,Dodge,Challenger SRT Hellcat
2015,Dodge,Charger SRT Hellcat
2016,Dodge,Viper ACR
2018,Dodge,Durango SRT
2018,Dodge,Challenger SRT Demon
2018,Exomotive,Exocet Off-Road
2018,Exomotive,Exocet Off-Road Forza Edition
1957,Ferrari,250 Testa Rossa
1957,Ferrari,250 California
1967,Ferrari,#24 Ferrari Spa 330 P4
1968,Ferrari,365 GTB/4
1969,Ferrari,Dino 246 GT
1984,Ferrari,288 GTO
1987,Ferrari,F40
1994,Ferrari,F355 Berlinetta
1995,Ferrari,F50
1996,Ferrari,F50 GT
2002,Ferrari,Enzo Ferrari
2003,Ferrari,360 Challenge Stradale
2005,Ferrari,FXX
2007,Ferrari,430 Scuderia
2009,Ferrari,458 Italia
2012,Ferrari,599XX Evolution
2013,Ferrari,LaFerrari
2013,Ferrari,458 Speciale
2014,Ferrari,FXX K
2015,Ferrari,488 GTB
2015,Ferrari,F12tdf
2017,Ferrari,812 Superfast
2017,Ferrari,GTC4Lusso
2018,Ferrari,Portofino
2019,Ferrari,488 Pista
1932,Ford,De Luxe Five-Window Coupe
1940,Ford,De Luxe Coupe
1956,Ford,F-100
1959,Ford,Anglia 105E
1964,Ford,GT40 Mk I
1965,Ford,Mustang GT Coupe
1965,Ford,Transit
1966,Ford,#2 GT40 Mk II
1966,Ford,Lotus Cortina
1967,Ford,Racing Escort MK1
1968,Ford,Mustang GT 2+2 Fastback
1969,Ford,Mustang Boss 302
1970,Ford,GT70
1972,Ford,Falcon XA GT-HO
1973,Ford,Capri RS3100
1973,Ford,Escort RS1600
1975,Ford,Bronco
1977,Ford,#5 Escort RS1800 MkII
1977,Ford,Escort RS1800
1981,Ford,Fiesta XR2
1985,Ford,RS200 Evolution
1986,Ford,Escort RS Turbo
1987,Ford,Sierra Cosworth RS500
1992,Ford,Escort RS Cosworth
1993,Ford,SVT Cobra R
1994,Ford,Supervan 3
1999,Ford,Racing Puma
2000,Ford,SVT Cobra R
2003,Ford,Focus RS
2005,Ford,GT
2009,Ford,Focus RS
2010,Ford,Crown Victoria Police Interceptor
2011,Ford,F-150 SVT Raptor
2011,Ford,Transit SuperSportVan
2013,Ford,Shelby GT500
2014,Ford,Fiesta ST
2014,Ford,Ranger T6 Rally Raid
2014,Ford,#11 Rockstar F-150 Trophy Truck
2014,Ford,FPV Limited Edition Pursuit Ute
2015,Ford,Falcon GT F 351
2016,Ford,Shelby GT350R
2017,Ford,M-Sport Fiesta RS
2017,Ford,Focus RS
2017,Ford,GT
2017,Ford,F-150 Raptor
2017,Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta
2017,Ford,#25 'Brocky' Ultra4 Bronco RTR
2018,Ford,#25 Mustang RTR
2018,Ford,Mustang GT
2018,Ford,Mustang RTR Spec 5
2018,Ford,#88 Mustang RTR
2019,Ford,Ranger Raptor
2020,Ford,Mustang Shelby GT500
2020,Ford,#2069 Ford Performance Bronco R
2020,Ford,#2069 Ford Performance Bronco R,Welcome Pack
2020,Ford,Super Duty F-450 DRW PLATINUM
2021,Ford,Bronco
1989,Formula Drift,#98 BMW 325i
1997,Formula Drift,#777 Nissan 240SX
2006,Formula Drift,#43 Dodge Viper SRT10
2007,Formula Drift,#117 599 GTB Fiorano
2013,Formula Drift,#777 Chevrolet Corvette
2015,Formula Drift,#13 Ford Mustang
2016,Formula Drift,#530 HSV Maloo GEN-F
2018,Formula Drift,#64 Nissan 370Z
2018,Funco Motorsports,F9
1983,GMC,Vandura G-1500
2012,Hennessey,Venom GT
2019,Hennessey,VelociRaptor 6x6
1973,Holden,HQ Monaro GTS 350
1974,Holden,Sandman HQ panel van
1977,Holden,Torana A9X
1974,Honda,Civic RS
1991,Honda,CR-X SiR
1992,Honda,NSX-R
1994,Honda,Prelude Si
1997,Honda,Civic Type R
2003,Honda,S2000
2004,Honda,Civic Type R
2005,Honda,NSX-R
2005,Honda,NSX-R GT
2007,Honda,Civic Type R
2009,Honda,S2000 CR
2015,Honda,Civic Type R
2016,Honda,Civic Coupe GRC
2018,Honda,Civic Type R
1955,Hoonigan,Chevrolet Bel Air
1965,Hoonigan,Ford Hoonicorn Mustang
1965,Hoonigan,GYMKHANA 10 Ford Hoonicorn Mustang
1972,Hoonigan,Chevrolet Napalm Nova
1977,Hoonigan,GYMKHANA 10 Ford F-150 'Hoonitruck'
1978,Hoonigan,Ford Escort RS1800
1986,Hoonigan,Ford RS200 Evolution
1991,Hoonigan,Rauh-Welt Begriff Porsche 911 Turbo
1991,Hoonigan,GYMKHANA 10 Ford Escort Cosworth Group A
1992,Hoonigan,Mazda RX-7 Twerkstallion
1994,Hoonigan,Ford Escort RS Cosworth WRC “Cossie V2”
2016,Hoonigan,GYMKHANA 10 Ford Focus RS RX
1969,Hot Wheels,Twin Mill
2011,Hot Wheels,Bone Shaker
2014,HSV,GEN-F GTS
2014,HSV,Limited Edition GEN-F GTS Maloo
2006,HUMMER,H1 Alpha
2019,Hyundai,Veloster N
2015,Infiniti,Q60 Concept
1970,International,Scout 800A
1956,Jaguar,D-Type
1959,Jaguar,Mk II 3.8
1961,Jaguar,E-type
1964,Jaguar,Lightweight E-Type
1991,Jaguar,Sport XJR-15
1993,Jaguar,XJ220
2010,Jaguar,C-X75
2012,Jaguar,XKR-S
2015,Jaguar,F-Type R Coupé
2015,Jaguar,XFR-S
2015,Jaguar,XE-S
2016,Jaguar,F-TYPE Project 7
2017,Jaguar,F-PACE S
2018,Jaguar,I-PACE
1976,Jeep,CJ5 Renegade
2012,Jeep,Wrangler Rubicon
2014,Jeep,Grand Cherokee SRT
2016,Jeep,Trailcat
2018,Jeep,Grand Cherokee Trackhawk
2020,Jeep,Gladiator Rubicon
2002,Koenigsegg,CC8S
2008,Koenigsegg,CCGT
2015,Koenigsegg,One:1
2016,Koenigsegg,Regera
2017,Koenigsegg,Agera RS
2020,Koenigsegg,Jesko
2013,KTM,X-Bow R
1967,Lamborghini,Miura P400
1986,Lamborghini,LM 002
1988,Lamborghini,Countach LP5000 QV
1997,Lamborghini,Diablo SV
1999,Lamborghini,Diablo GTR
2008,Lamborghini,Reventón
2010,Lamborghini,Murciélago LP 670-4 SV
2011,Lamborghini,Gallardo LP 570-4 Superleggera
2011,Lamborghini,Sesto Elemento
2011,Lamborghini,Sesto Elemento Forza Edition
2012,Lamborghini,Aventador LP700-4
2013,Lamborghini,Veneno
2014,Lamborghini,Huracán LP 610-4
2016,Lamborghini,Aventador Superveloce
2016,Lamborghini,Centenario LP 770-4
2018,Lamborghini,Huracán Performante
2019,Lamborghini,Urus
1972,Land Rover,Series III
1973,Land Rover,Range Rover
1997,Land Rover,Defender 90
2015,Land Rover,Range Rover Sport SVR
2018,Land Rover,Range Rover Velar First Edition
2020,Land Rover,Defender 110 X
1997,Lexus,SC300
2010,Lexus,LFA
2015,Lexus,RC F
2014,Local Motors,Rally Fighter
1969,Lola,#6 Penske Sunoco T70 MkIIIB
1971,Lotus,Elan Sprint
1997,Lotus,Elise GT1
1999,Lotus,Elise Series 1 Sport 190
2012,Lotus,Exige S
2016,Lotus,3-Eleven
2020,Lotus,Evija
2008,Maserati,MC12 Versione Corsa
2010,Maserati,Gran Turismo S
2010,Maserati,Gran Turismo S Forza Edition
2017,Maserati,Levante S
1990,Mazda,Savanna RX-7
1994,Mazda,MX-5 Miata
1997,Mazda,RX-7
2002,Mazda,RX-7 Spirit R Type-A
2005,Mazda,Mazdaspeed MX-5
2011,Mazda,RX-8 R3
2013,Mazda,MX-5
2016,Mazda,MX-5
1993,McLaren,F1
1997,McLaren,F1 GT
2013,McLaren,P1
2015,McLaren,650S Coupe
2015,McLaren,570S Coupé
2018,McLaren,720S Coupé
2018,McLaren,Senna
2018,McLaren,600LT Coupé
2019,McLaren,720S Spider
2019,McLaren,Speedtail
2020,McLaren,GT
2016,Mercedes-AMG,C 63 S Coupé
2017,Mercedes-AMG,GT R
2018,Mercedes-AMG,GT 4-Door Coupé
2018,Mercedes-AMG,E 63 S
2021,Mercedes-AMG,Mercedes-AMG ONE
1929,Mercedes-Benz,SSK
1939,Mercedes-Benz,W154
1954,Mercedes-Benz,300 SL Coupé
1987,Mercedes-Benz,AMG Hammer Coupe
1990,Mercedes-Benz,190E 2.5-16 Evolution II
1998,Mercedes-Benz,AMG CLK GTR
1998,Mercedes-Benz,AMG CLK GTR Forza Edition
2011,Mercedes-Benz,SLS AMG
2012,Mercedes-Benz,SLK 55 AMG
2012,Mercedes-Benz,C 63 AMG Coupé Black Series
2013,Mercedes-Benz,G 65 AMG
2013,Mercedes-Benz,A 45 AMG
2013,Mercedes-Benz,E 63 AMG
2014,Mercedes-Benz,Unimog U5023
2014,Mercedes-Benz,G 63 AMG 6x6
2015,Mercedes-Benz,#24 Tankpool24 Racing Truck
2015,Mercedes-Benz,#24 Tankpool24 Racing Truck Forza Edition
2018,Mercedes-Benz,X-Class
1971,Meyers,Manx
1971,Meyers,Manx Forza Edition
1986,MG,Metro 6R4
1965,MINI,Cooper S
2009,MINI,John Cooper Works
2012,MINI,John Cooper Works GP
2013,MINI,X-Raid ALL4 Racing Countryman
2018,MINI,John Cooper Works Countryman ALL4
2018,MINI,X-Raid John Cooper Works Buggy
1988,Mitsubishi,Starion ESI-R
1995,Mitsubishi,Eclipse GSX
1997,Mitsubishi,GTO
1999,Mitsubishi,Lancer Evolution VI GSR
2004,Mitsubishi,Lancer Evolution VIII MR
2006,Mitsubishi,Lancer Evolution IX MR
2008,Mitsubishi,Lancer Evolution X GSR
2008,Mitsubishi,Lancer Evolution X GSR,Welcome Pack
2014,Morgan,3 Wheeler
1953,Morris,Minor 1000 Forza Edition
1958,Morris,Minor 1000
2010,Mosler,MT900S
1933,Napier,Napier-Railton
1969,Nissan,Fairlady Z 432
1971,Nissan,Skyline 2000GT-R
1973,Nissan,Skyline H/T 2000GT-R
1987,Nissan,Skyline GTS-R (R31)
1990,Nissan,Pulsar GTI-R
1992,Nissan,Silvia CLUB K's
1993,Nissan,Skyline GT-R V-Spec
1993,Nissan,240SX SE
1994,Nissan,Fairlady Z Version S Twin Turbo
1994,Nissan,Silvia K's
1995,Nissan,NISMO GT-R LM
1997,Nissan,Skyline GT-R V-Spec
1998,Nissan,R390
1998,Nissan,Silvia K's Aero
2000,Nissan,Silvia Spec-R
2002,Nissan,Skyline GT-R V-Spec II
2003,Nissan,Fairlady Z
2003,Nissan,Fairlady Z Forza Edition
2004,Nissan,Pickup #23 Rally Raid
2010,Nissan,370Z
2012,Nissan,GT-R Black Edition
2016,Nissan,Titan Warrior Concept
2017,Nissan,GT-R
1984,Opel,Manta 400
2009,Pagani,Zonda Cinque Roadster
2010,Pagani,Zonda R
2016,Pagani,Huayra BC
2016,Pagani,Huayra BC Forza Edition
2011,Penhall,The Cholla
1984,Peugeot,205 Turbo 16
1991,Peugeot,205 Rallye
2007,Peugeot,207 Super 2000
1971,Plymouth,Cuda 426 Hemi
2015,Polaris,RZR XP 1000 EPS
1965,Pontiac,GTO
1977,Pontiac,Firebird Trans Am
1987,Pontiac,Firebird Trans Am GTA
1987,Pontiac,Firebird Trans Am GTA Forza Edition
1959,Porsche,356 A 1600 Super
1970,Porsche,#3 917 LH
1970,Porsche,914/6
1982,Porsche,911 Turbo 3.3
1985,Porsche,#185 959 Prodrive Rally Raid
1987,Porsche,959
1989,Porsche,944 Turbo
1989,Porsche,#65 Rothsport Racing 911 'Desert Flyer'
1993,Porsche,968 Turbo S
1995,Porsche,911 GT2
1998,Porsche,911 GT1 Strassenversion
2003,Porsche,Carrera GT
2004,Porsche,911 GT3
2012,Porsche,911 GT2 RS
2014,Porsche,911 Turbo S
2014,Porsche,918 Spyder
2015,Porsche,Cayman GTS
2016,Porsche,911 GT3 RS
2016,Porsche,Cayman GT4
2017,Porsche,Panamera Turbo
2018,Porsche,718 Cayman GTS
2018,Porsche,911 GT2 RS
2018,Porsche,Cayenne Turbo
2018,Porsche,Macan Rally Raid
2019,Porsche,911 Carrera S
2019,Porsche,911 GT3 RS
2019,Porsche,911 GT3 RS Forza Edition
2019,Porsche,Macan Turbo
2020,Porsche,Taycan Turbo S
2020,Porsche,Taycan Turbo S,Welcome Pack
2015,Radical,RXC Turbo
2017,Ram,2500 Power Wagon
1972,Reliant,Supervan III
1980,Renault,5 Turbo
1993,Renault,Clio Williams
2008,Renault,Mégane R26.R
2013,Renault,Clio R.S. 200 EDC
2018,Renault,MEGANE R.S.
2019,Rimac,Concept Two
2016,RJ Anderson,#37 Polaris RZR-Rockstar Energy Pro 2 Truck
2004,Saleen,S7
2018,Saleen,S1
1965,Shelby,Cobra 427 S/C
1965,Shelby,Cobra Daytona Coupe
2021,SIERRA Cars,RX3
1998,SUBARU,Impreza 22B-STi Version
2004,SUBARU,IMPREZA WRX STi
2005,SUBARU,IMPREZA WRX STI
2008,SUBARU,IMPREZA WRX STI
2011,SUBARU,WRX STI
2013,SUBARU,BRZ
2015,SUBARU,WRX STI
1969,Toyota,2000GT
1974,Toyota,Celica GT
1979,Toyota,FJ40
1985,Toyota,Sprinter Trueno GT Apex
1989,Toyota,MR2 SC
1992,Toyota,Supra 2.0 GT
1992,Toyota,Celica GT-Four RC ST185
1994,Toyota,Celica GT-Four ST205
1998,Toyota,Supra RZ
1998,Toyota,Supra RZ,Welcome Pack
2013,Toyota,86
2020,Toyota,GR Supra
1998,TVR,Cerbera Speed 12
2005,TVR,Sagaris
2018,TVR,Griffith
2015,Ultima,Evolution Coupe 1020
2005,Vauxhall,Monaro VXR
2016,Vauxhall,Corsa VXR
1963,Volkswagen,Type 2 De Luxe
1963,Volkswagen,Beetle
1963,Volkswagen,Beetle Forza Edition
1969,Volkswagen,Class 5/1600 Baja Bug
1970,Volkswagen,#1107 Desert Dingo Racing Stock Bug
1981,Volkswagen,Scirocco S
1983,Volkswagen,Golf GTI
1992,Volkswagen,Golf Gti 16v Mk2
1995,Volkswagen,Corrado VR6
1998,Volkswagen,GTI VR6 Mk3
2003,Volkswagen,Golf R32
2010,Volkswagen,Golf R
2011,Volkswagen,Scirocco R
2014,Volkswagen,Golf R
2017,Volkswagen,#34 Volkswagen Andretti Rallycross Beetle
1983,Volvo,242 Turbo Evolution
1997,Volvo,850 R
2015,Volvo,V60 Polestar
2017,VUHL,05RR
1945,Willys,MB Jeep
2019,Zenvo,TSR-S
1973,BMW,2002 Turbo,Barn Find
1953,Chevrolet,Corvette,Barn Find
1999,Dodge,Viper GTS ACR,Barn Find
1968,Dodge,Dart HEMI Super Stock,Barn Find
1989,Ferrari,F40 Competizione,Barn Find
1962,Ferrari,250 GTO,Barn Find
1968,Ford,Mustang GT 2+2 Fastback,Barn Find
1967,Ford,Racing Escort Mk1,Barn Find
1956,Ford,F-100,Barn Find
1970,GMC,Jimmy,Barn Find
1991,Jaguar,Sport XJR-15,Barn Find
1973,Porsche,911 Carrera RS,Barn Find
1968,Renault,4L Export,Barn Find
1993,Toyota,#1 T100 Baja Truck,Barn Find
2019,Lamborghini,Aventador SVJ,2
2010,Ferrari,599 GTO,2
2012,Lamborghini,Aventador J,2
2012,Lamborghini,Gallardo LP 570-4 Spyder Performante,2
1965,Peel,Trident,2
2002,Ferrari,575M Maranello,2
1939,Maserati,8CTF,2
2017,Ferrari,J50,2,Dec 9
2019,Ferrari,Monza SP2,2,Dec 16
1973,Lamborghini,Espada 400 GT,2,Dec 23
2020,Lamborghini,Huracan EVO,2,Dec 30
2013,Donkervoort,D8 GTO,3
1971,Ford,Mustang Mach 1,3
2015,Jaguar,XKR-S GT,3
1990,Vauxhall,Lotus Carlton,3
2003,Toyota,Celica SS-I,3
2007,Toyota,Hilux Arctic Trucks AT38,3
2016,Toyota,Land Cruiser Arctic Trucks AT37,3
2016,Zenvo,TS1,3
1966,Jaguar,XJ13,3,Jan 6
1993,Jaguar,XJ220S TWR,3,Jan 13
2018,Ferrari,FXX-K Evo,3,Jan 20
2018,Audi,TT RS,3,Jan 27
2016,NIO,EP9,4
2013,Wuling,Sunshine S,4
2015,MG,MG3,4
2012,Porsche,911 GT3 RS 4.0,4
2010,Porsche,911 Sport Classic,4,Feb 3
1992,Mazda,323 GT-R,4,Feb 10
2021,Volkswagen,Golf R,4,Feb 17
2005,MG,XPower SV-R,4,Feb 24
2018,KTM,X-Bow GT4,5
2019,Toyota,4Runner TRD Pro,5
2010,Noble,M600,5
2020,Nissan,GT-R NISMO (R35),5
1965,MINI,Cooper S Forza Edition,5
1986,Ford,Mustang SVO,5,Mar 3
2020,Toyota,Tundra TRD Pro,5,Mar 10
2006,Noble,M400,5,Mar 17
2017,Ferrari,#25 Corse Clienti 488 Challenge,5,Mar 24
2021,Ford,Mustang Mach-E 1400,Drift Club
2012,Ascari,KZ1R,6
2021,McLaren,765LT Coupe,6
2018,ATS,GT,6
2014,McLaren,650S Spider,6
1966,Oldsmobile,Toronado,6,Mar 31
2021,McLaren,620R,6,Apr 7
2021,MINI,John Cooper Works GP,6,Apr 14
2019,Porsche,911 Speedster,6,Apr 21
2020,Ferrari,SF90 Stradale,7
1962,Ferrari,250 GT Berlinetta Lusso,7
2014,Ferrari,California T,7
1992,Ferrari,512 TR,7
2020,Ferrari,F8 Tributo,7
2003,Ford,F-150 SVT Lightning,7,Apr 28
2014,Forsberg Racing,Nissan 'SafariZ' 370Z Safari Rally Tribute,7,May 5
2019,Toyota,Tacoma TRD Pro,7,May 12
2008,Dodge,Magnum SRT8,7,May 19
2021,Porsche,911 GT3,8
2015,Mercedes-AMG,GT S,8
2018,Audi,RS 4 Avant,8
2020,BMW,M8 Competition Coupe,8,May 26
2020,Audi,RS 3 Sedan,8,Jun 2
2018,Audi,RS 5 Coupé,8,Jun 9
1982,Volkswagen,Pickup LX,8,Jun 16
2018,Hot Wheels,2JetZ,9
1968,Plymouth,Barracuda Formula-S,9
1970,Dodge,Coronet Super Bee,9
1957,Hot Wheels,Nash Metropolitan Custom,9
2012,Hot Wheels,Rip Rod,9,Spin
1949,Hot Wheels,Ford F-5 Dually Custom Hot Rod,9,Spin
2005,Hot Wheels,Ford Mustang,9,Spin
2021,Aston Martin,DBX,9,Jun 23
2020,Lexus,RC F Track Edition,9,Jun 30
2019,Nissan,370z Nismo,9,Jul 7
2013,Hot Wheels,Baja Bone Shaker,DLC
1957,Hot Wheels,Nash Metropolitan Custom,DLC
2000,Hot Wheels,Deora II,DLC
1949,Hot Wheels,Ford F-5 Dually Custom Hot Rod,DLC
2012,Hot Wheels,Rip Rod,DLC
1993,Schuppan,962CR,DLC
2018,Chevrolet,Hot Wheels COPO Camaro,DLC
2018,Hot Wheels,2JetZ,DLC
2005,Hot Wheels,Ford Mustang,DLC
2018,SUBARU,WRX STI ARX Supercar,DLC
2012,Hot Wheels,Bad to the Blade,DLC
2019,Brabham,BT62,DLC
2006,Mosler,MT900 GT3,DLC
2020,SIERRA Cars,#23 Yokohama ALPHA,DLC
2021,Hennessey,Venom F5,DLC
2022,Extreme E,ODYSSEY 21 e-SUV,10
2022,Extreme E,#99 Chip Ganassi Racing GMC Hummer EV,10
2022,Extreme E,#58 McLaren Racing,10
2022,Extreme E,#44 X44,10
2022,Extreme E,#42 XITE Racing Team,10
2022,Extreme E,#23 Genesys Andretti United,10
2022,Extreme E,#5 Veloce Racing,10
2022,Extreme E,#55 ACCIONA | Sainz XE Team,10
2022,Extreme E,#22 JBXE,10
2022,Extreme E,#6 Rosberg X Racing,10
2022,Extreme E,#125 ABT Cupra XE,10
1971,Porsche,#23 917/20,10
1995,Porsche,911 Carrera 2 by Gunther Werks,10
1964,Porsche,356 C Cabriolet Emory Special,10
1990,Porsche,911 Reimagined by Singer - DLS,10
2021,BMW,M4 Competition Coupe,11
1955,Mercedes-Benz,300 SLR,11
1955,Porsche,550 Spyder,11
1985,HDT,VK Commodore Group A,11
1990,Subaru,LEGACY RS,11
2020,Xpeng,P7,11
2010,BMW,E92 M3 GTS,11
2021,Audi,RS e-tron GT,12
1991,Bentley,Turbo R,12
2021,Audi,RS 7 Sportback,12
2021,Lynk & Co,03+,12
2018,Nissan,Sentra NISMO,12
1971,Ford,Mustang Mach 1,10ae
1984,Honda,Civic CRX Mugen,10ae
2003,Toyota,Celica SS-I,10ae
2010,Aston Martin,One-77,10ae
2010,Ferrari,599XX,10ae
2010,Lamborghini,Murciélago LP 670-4 SV,10ae
2011,Koenigsegg,Agera,10ae
2012,Eagle,Speedster,10ae
2013,Dodge,SRT Viper GTS Anniversary Edition,10ae
1946,Ford,Super Deluxe Station Wagon,14
1953,Morris,Minor Series II Traveler,14
1965,Morris,Mini-Traveller,14
2020,Lynk & Co,#100 Cyan Racing 03,14
1958,Plymouth,Fury,15
1970,AMC,Rebel 'The Machine',15
1971,AMC,Javelin AMX,15
